"Air Way Bill Number","Tracking Number","Account Number","Account Holder Name","Shiper Name","Address Line 1","Address Line 2",City,State,Country,Zip,Phone,"User Name",Date,Time,"Shiper Reference","Shipment Content","Shipment Value","Reciever Company","Receiver Name","Receiver Address Line 1","Receiver Address Line 2","Receiver City","Receiver State","Price list Service","Zone Country","Reciever Zip","Reciever Phone","Reciever Mobile","Ship Type",Weight,PCS,"Total Payment","Total paid",Balance,"Shipment Instruction","Created By",Status
YXBHJHJSS,289437,4001,"TANGO TRADING","XYZ ABC",,"MAIN SIALKOT ",Pakistan,PUNJAB,SIALKOT,050000,03338636704,smehsoud,2016-10-27,19:51:20,sbjk,"This is the test shipment",45.00,Cargo,Saeed,ajksd,jhkhk,jkhkj,hkjh,DHLPKDOX,"United Kingdom",3244,3242342342,32423423,Dox,300,24234,1999.00,1500.00,499.00,"This is testing",smehsoud,Manifested
DSFSAFA,23,12345678,smxoft,"wq33 wqeqw",adasdas,123,"Falkland Islands",1231,12312,12312,213,smehsoud,2016-11-03,01:58:15,3121,dqwmde,213,"Rehman Travel",jkkjkj,jk,kjh,jkkj,jjj,DHLPKDOX,"United Kingdom",dasd,asda,,Dox,55,,1999.00,45.00,1954.00,sjk,smehsoud,Delivered
DSFSAFB,23,12345678,smxoft,"wq33 wqeqw",adasdas,123,"Falkland Islands",1231,12312,12312,213,smehsoud,2016-11-03,01:58:15,3121,dqwmde,213,"Rehman Travel",jkkjkj,jk,kjh,jkkj,jjj,DHLPKDOX,"United Kingdom",dasd,asda,,Dox,55,,1999.00,45.00,1954.00,sjk,smehsoud,Intransit
DSFSAFE,23,12345678,smxoft,"wq33 wqeqw",adasdas,123,"Falkland Islands",1231,12312,12312,213,smehsoud,2016-11-03,01:58:15,3121,dqwmde,213,"Rehman Travel",jkkjkj,jk,kjh,jkkj,jjj,DHLPKDOX,"United Kingdom",dasd,asda,,Dox,55,,1999.00,45.00,1954.00,sjk,smehsoud,Intransit
DSFSAFF,23,12345678,smxoft,"wq33 wqeqw",adasdas,123,"Falkland Islands",1231,12312,12312,213,smehsoud,2016-11-03,01:58:15,3121,dqwmde,213,"Rehman Travel",jkkjkj,jk,kjh,jkkj,jjj,DHLPKDOX,"United Kingdom",dasd,asda,,Dox,55,,1999.00,45.00,1954.00,sjk,smehsoud,Intransit
DSFSAFG,23,12345678,smxoft,"wq33 wqeqw",adasdas,123,"Falkland Islands",1231,12312,12312,213,smehsoud,2016-11-03,01:58:15,3121,dqwmde,213,"Rehman Travel",jkkjkj,jk,kjh,jkkj,jjj,DHLPKDOX,"United Kingdom",dasd,asda,,Dox,55,,1999.00,45.00,1954.00,sjk,smehsoud,Intransit
DSFSAFH,23,12345678,smxoft,"wq33 wqeqw",adasdas,123,"Falkland Islands",1231,12312,12312,213,smehsoud,2016-11-03,01:58:15,3121,dqwmde,213,"Rehman Travel",jkkjkj,jk,kjh,jkkj,jjj,DHLPKDOX,"United Kingdom",dasd,asda,,Dox,55,,1999.00,45.00,1954.00,sjk,smehsoud,Intransit
DSFSAFI,23,12345678,smxoft,"wq33 wqeqw",adasdas,123,"Falkland Islands",1231,12312,12312,213,smehsoud,2016-11-03,01:58:15,3121,dqwmde,213,"Rehman Travel",jkkjkj,jk,kjh,jkkj,jjj,DHLPKDOX,"United Kingdom",dasd,asda,,Dox,55,,1999.00,45.00,1954.00,sjk,smehsoud,Intransit
557787,6939678939,4001,"TANGO TRADING","XYZ ABC",,"MAIN SIALKOT ",Pakistan,PUNJAB,SIALKOT,050000,03338636704,smehsoud,2016-11-09,13:52:38,,,,.,"MR RAJA RIZWAN","CALLE MIGUEL DE","CERVANTES 26",PALMAOS,GIRONA,DHLPKNDOX,Poland,17230,000,000,N-DOX,2,1,0.00,0.00,0.00,,smehsoud,Manifested
933075,6939232475,22,"Cash customers","000 000",,,Pakistan,,,,00,smehsoud,2016-11-09,13:58:13,,,,"DAVID J DOWLING","DAVID J DOWLING","SINNOTTSTOWN BUSINESS PARK",,WEXFORD,WEXFORD,DHLPKNDOX,Poland,Y35AKX5,000,000,N-DOX,2,1,0.00,0.00,0.00,,smehsoud,Intransit
